source,text,cluster
citizens.pdf,slip opinion october term syllabus note where it is feasible a syllabus headnote will be released as is being done in connection with this case at the time the opinion is issued the syllabus constitutes no part of the opinion of the court but has been prepared by the reporter of decisions for the convenience of the reader see united states v detroit timber lumber co u s supreme court of the united states syllabus citizens united v federal election commission appeal from the united states district court for the district of columbia no argued march reargued september decided january as amended by of the bipartisan campaign reform act of bcra federal law prohibits corporations and unions from using their general treasury funds to make independent expenditures for speech that is an electioneering communication or for speech that expressly advocates the election or defeat of a candidate u s c b an electioneering communication is any broadcast cable or satellite communication that refers to a clearly identified candidate for federal office and is made within days of a primary election fa and that is publicly distributed cfr a which in the case of a candidate for nomination for president means that the communication can be received by or more persons in a state where a primary election is being held within days bii corporations and unions may establish a political action committee pac for express advocacy or electioneer ing communications purposes u s c bb in mcconnell v federal election commn u s this court upheld limits on electioneering communications in a facial challenge relying on the holding in austin v michigan chamber of commerce u s that political speech may be banned based on the speakers corporate identity in january appellant citizens united a nonprofit corpora tion released a documentary hereinafter hillary critical of then senator hillary clinton a candidate for her partys presidential nomination anticipating that it would make hillary available on cable television through videoondemand within days of primary elections citizens united produced television ads to run on broadcast citizens united v federal election commn syllabus and cable television concerned about possible civil and criminal penalties for violating b it sought declaratory and injunctive re lief arguing that b is unconstitutional as applied to hillary and bcras disclaimer disclosure and reporting requirements bcra and were unconstitutional as applied to hillary and the ads the district court denied,4
citizens.pdf,citizens united a prelimi nary injunction and granted appellee federal election commission fec summary judgment held because the question whether b applies to hillary cannot be resolved on other narrower grounds without chilling political speech this court must consider the continuing effect of the speech suppres sion upheld in austin pp a citizen uniteds narrower argumentsthat hillary is not an electioneering communication covered by b because it is not publicly distributed under cfr a that b may not be applied to hillary under federal election commn v wisconsin right to life inc u s wrtl which found b uncon stitutional as applied to speech that was not express advocacy or its functional equivalent id at opinion of roberts c j deter mining that a communication is the functional equivalent of express advocacy only if it is susceptible of no reasonable interpretation other than as an appeal to vote for or against a specific candidate id at that b should be invalidated as applied to movies shown through videoondemand because this delivery system has a lower risk of distorting the political process than do television ads and that there should be an exception to bs ban for nonprofit corporate political speech funded overwhelming by individualsare not sustainable under a fair reading of the statute pp b thus this case cannot be resolved on a narrower ground without chilling political speech speech that is central to the first amendments meaning and purpose citizens united did not waive this challenge to austin when it stipulated to dismissing the facial challenge below since even if such a challenge could be waived this court may reconsider austin and bs facial validity here be cause the district court passed upon the issue lebron v national railroad passenger corporation u s throughout the litigation citizens united has asserted a claim that the fec has violated its right to free speech and the parties cannot enter into a stipulation that prevents the court from considering remedies nec essary to resolve a claim that has been preserved because citizen uniteds narrower arguments are not sustainable this court must in an exercise of its judicial responsibility consider bs facial valid ity any other course would prolong the substantial nationwide cite as u s syllabus chilling effect caused by bs corporate expenditure ban this conclusion is further supported by the following the uncertainty caused by the governments litigating position substantial time,4
citizens.pdf,would be required to clarify bs application on the points raised by the governments position in order to avoid any chilling effect caused by an improper interpretation and because speech itself is of primary importance to the integrity of the election process any speech arguably within the reach of rules created for regulating po litical speech is chilled the regulatory scheme at issue may not be a prior restraint in the strict sense however given its complexity and the deference courts show to administrative determinations a speaker wishing to avoid criminal liability threats and the heavy costs of defending against fec enforcement must ask a governmen tal agency for prior permission to speak the restrictions thus func tion as the equivalent of a prior restraint giving the fec power analogous to the type of government practices that the first amend ment was drawn to prohibit the ongoing chill on speech makes it necessary to invoke the earlier precedents that a statute that chills speech can and must be invalidated where its facial invalidity has been demonstrated pp austin is overruled and thus provides no basis for allowing the government to limit corporate independent expenditures hence bs restrictions on such expenditures are invalid and cannot be applied to hillary given this conclusion the part of mcconnell that upheld bcra s extension of bs restrictions on independent corporate expenditures is also overruled pp a although the first amendment provides that congress shall make no law abridging the freedom of speech bs prohibition on corporate independent expenditures is an outright ban on speech backed by criminal sanctions it is a ban notwithstanding the fact that a pac created by a corporation can still speak for a pac is a separate association from the corporation because speech is an es sential mechanism of democracyit is the means to hold officials ac countable to the peoplepolitical speech must prevail against laws that would suppress it by design or inadvertence laws burdening such speech are subject to strict scrutiny which requires the gov ernment to prove that the restriction furthers a compelling interest and is narrowly tailored to achieve that interest wrtl u s at this language provides a sufficient framework for protecting the interests in this case premised on mistrust of governmental power the first amendment stands against attempts to disfavor cer tain subjects or viewpoints or to distinguish among different speak ers which may,4
citizens.pdf,be a means to control content the government may also commit a constitutional wrong when by law it identifies certain citizens united v federal election commn syllabus preferred speakers there is no basis for the proposition that in the political speech context the government may impose restrictions on certain disfavored speakers both history and logic lead to this con clusion pp b the court has recognized that the first amendment applies to corporations eg first nat bank of boston v bellotti u s n and extended this protection to the context of political speech see eg naacp v button u s address ing challenges to the federal election campaign act of the buckley court upheld limits on direct contributions to candidates u s c b recognizing a governmental interest in preventing quid pro quo corruption u s at however the court in validated es expenditure ban which applied to individuals corporations and unions because it failed to serve any substantial governmental interest in stemming the reality or appearance of cor ruption in the electoral process id at while buckley did not consider a separate ban on corporate and union independent expendi tures found in had that provision been challenged in buckleys wake it could not have been squared with the precedents reasoning and analysis the buckley court did not invoke the overbreadth doc trine to suggest that es expenditure ban would have been con stitutional had it applied to corporations and unions but not indi viduals notwithstanding this precedent congress soon recodified s corporate and union expenditure ban at u s c b the provision at issue less than two years after buckley bellotti reaf firmed the first amendment principle that the government lacks the power to restrict political speech based on the speakers corporate identity us at thus the law stood until austin up held a corporate independent expenditure restriction bypassing buckley and bellotti by recognizing a new governmental interest in preventing the corrosive and distorting effects of immense aggrega tions of corporate wealth that have little or no correlation to the publics support for the corporations political ideas u s at pp c this court is confronted with conflicting lines of precedent a preaustin line forbidding speech restrictions based on the speakers corporate identity and a postaustin line permitting them neither austins antidistortion rationale nor the governments other justifica tions support bs restrictions pp the first amendment prohibits,4
citizens.pdf,congress from fining or jailing citizens or associations of citizens for engaging in political speech but austins antidistortion rationale would permit the gov ernment to ban political speech because the speaker is an association with a corporate form political speech is indispensable to decision cite as u s syllabus making in a democracy and this is no less true because the speech comes from a corporation bellotti supra at footnote omitted this protection is inconsistent with austins rationale which is meant to prevent corporations from obtaining an unfair advantage in the political marketplace by using resources amassed in the economic marketplace u s at first amendment protec tions do not depend on the speakers financial ability to engage in public discussion buckley supra at these conclusions were re affirmed when the court invalidated a bcra provision that in creased the cap on contributions to one candidate if the opponent made certain expenditures from personal funds davis v federal election commn u s distinguishing wealthy indi viduals from corporations based on the latters special advantages of eg limited liability does not suffice to allow laws prohibiting speech it is irrelevant for first amendment purposes that corporate funds may have little or no correlation to the publics support for the corporations political ideas austin supra at all speakers in cluding individuals and the media use money amassed from the eco nomic marketplace to fund their speech and the first amendment protects the resulting speech under the antidistortion rationale congress could also ban political speech of media corporations al though currently exempt from b they accumulate wealth with the help of their corporate form may have aggregations of wealth and may express views having little or no correlation to the publics support for those views differential treatment of media corpora tions and other corporations cannot be squared with the first amendment and there is no support for the view that the amend ments original meaning would permit suppressing media corpora tions political speech austin interferes with the open marketplace of ideas protected by the first amendment new york state bd of elections v lopez torres u s its censorship is vast in its reach suppressing the speech of both forprofit and nonprofit both small and large corporations pp this reasoning also shows the invalidity of the govern ments other arguments it reasons that corporate political speech can be banned to prevent corruption or,4
citizens.pdf,its appearance the buckley court found this rationale sufficiently important to allow contribu tion limits but refused to extend that reasoning to expenditure limits us at and the court does not do so here while a single bellotti footnote purported to leave the question open u s at n this court now concludes that independent expenditures including those made by corporations do not give rise to corruption or the appearance of corruption that speakers may have influence over or access to elected officials does not mean that those officials citizens united v federal election commn syllabus are corrupt and the appearance of influence or access will not cause the electorate to lose faith in this democracy caperton v a t massey coal co u s distinguished pp the governments asserted interest in protecting share holders from being compelled to fund corporate speech like the anti distortion rationale would allow the government to ban political speech even of media corporations the statute is underinclusive it only protects a dissenting shareholders interests in certain media for or days before an election when such interests would be impli cated in any media at any time it is also overinclusive because it covers all corporations including those with one shareholder p because b is not limited to corporations or associa tions created in foreign countries or funded predominately by foreign shareholders it would be overbroad even if the court were to recog nize a compelling governmental interest in limiting foreign influence over the nations political process pp d the relevant factors in deciding whether to adhere to stare decisis beyond workabilitythe precedents antiquity the reliance interests at stake and whether the decision was well reasoned counsel in favor of abandoning austin which itself contravened the precedents of buckley and bellotti as already explained austin was not well reasoned it is also undermined by experience since its an nouncement political speech is so ingrained in this countrys culture that speakers find ways around campaign finance laws rapid changes in technologyand the creative dynamic inherent in the concept of free expressioncounsel against upholding a law that re stricts political speech in certain media or by certain speakers in addition no serious reliance issues are at stake thus due consid eration leads to the conclusion that austin should be overruled the court returns to the principle established in buckley and bellotti that the government may not suppress,4
citizens.pdf,political speech based on the speakers corporate identity no sufficient governmental interest jus tifies limits on the political speech of nonprofit or forprofit corpora tions pp bcra and are valid as applied to the ads for hillary and to the movie itself pp a disclaimer and disclosure requirements may burden the abil ity to speak but they impose no ceiling on campaignrelated activi ties buckley u s at or prevent anyone from speak ing mcconnell supra at the buckley court explained that disclosure can be justified by a governmental interest in providing the electorate with information about electionrelated spending sources the mcconnell court applied this interest in rejecting facial challenges to and u s at however the court cite as u s syllabus acknowledged that asapplied challenges would be available if a group could show a reasonable probability that disclosing its con tributors names would subject them to threats harassment or re prisals from either government officials or private parties id at pp b the disclaimer and disclosure requirements are valid as ap plied to citizens uniteds ads they fall within bcras electioneer ing communication definition they referred to thensenator clinton by name shortly before a primary and contained pejorative references to her candidacy section disclaimers provide information to the electorate mcconnell supra at and insure that the voters are fully informed about who is speaking buckley supra at at the very least they avoid confusion by making clear that the ads are not funded by a candidate or political party citizens uniteds arguments that is underinclusive because it requires disclaimers for broad cast advertisements but not for print or internet advertising and that decreases the quantity and effectiveness of the groups speech were rejected in mcconnell this court also rejects their contention that s disclosure requirements must be confined to speech that is the functional equivalent of express advocacy under wrtls test for restrictions on independent expenditures u s at opinion of roberts cj disclosure is the lessrestrictive alterna tive to more comprehensive speech regulations such requirements have been upheld in buckley and mcconnell citizens uniteds ar gument that no informational interest justifies applying to its ads is similar to the argument this court rejected with regard to dis claimers citizens united finally claims that disclosure requirements can chill donations by exposing donors to retaliation but offers no evidence that its members face the type of threats harassment or,4
citizens.pdf,reprisals that might make unconstitutional as applied pp c for these same reasons this court affirms the application of the and disclaimer and disclosure requirements to hillary pp reversed in part affirmed in part and remanded kennedy j delivered the opinion of the court in which roberts c j and scalia and alito jj joined in which thomas j joined as to all but part iv and in which stevens ginsburg breyer and so tomayor jj joined as to part iv roberts c j filed a concurring opinion in which alito j joined scalia j filed a concurring opin ion in which alito j joined and in which thomas j joined in part stevens j filed an opinion concurring in part and dissenting in part in which ginsburg breyer and sotomayor jj joined thomas j filed an opinion concurring in part and dissenting in part cite as u s opinion of the court notice this opinion is subject to formal revision before publication in the preliminary print of the united states reports readers are requested to notify the reporter of decisions supreme court of the united states wash ington d c of any typographical or other formal errors in order that corrections may be made before the preliminary print goes to press supreme court of the united states no citizens united appellant v federal election commission on appeal from the united states district court for the district of columbia january justice kennedy delivered the opinion of the court federal law prohibits corporations and unions from using their general treasury funds to make independent expenditures for speech defined as an electioneering communication or for speech expressly advocating the election or defeat of a candidate u s c b limits on electioneering communications were upheld in mccon nell v federal election commn u s the holding of mcconnell rested to a large extent on an earlier case austin v michigan chamber of com merce u s austin had held that political speech may be banned based on the speakers corporate identity in this case we are asked to reconsider austin and in effect mcconnell it has been noted that austin was a significant departure from ancient first amendment principles federal election commn v wisconsin right to life inc u s wrtl scalia j concurring in part and concurring in judgment we agree with that conclusion and hold that stare decisis does not,4
citizens.pdf,compel the continued acceptance of austin the govern citizens united v federal election commn opinion of the court ment may regulate corporate political speech through disclaimer and disclosure requirements but it may not suppress that speech altogether we turn to the case now before us i a citizens united is a nonprofit corporation it brought this action in the united states district court for the district of columbia a threejudge court later convened to hear the cause the resulting judgment gives rise to this appeal citizens united has an annual budget of about million most of its funds are from donations by individu als but in addition it accepts a small portion of its funds from forprofit corporations in january citizens united released a film enti tled hillary the movie we refer to the film as hillary it is a minute documentary about thensenator hillary clinton who was a candidate in the democratic partys presidential primary elections hillary mentions senator clinton by name and depicts interviews with political commentators and other persons most of them quite critical of senator clinton hillary was released in theaters and on dvd but citizens united wanted to increase distribution by making it available through video ondemand videoondemand allows digital cable subscribers to select programming from various menus including mov ies television shows sports news and music the viewer can watch the program at any time and can elect to re wind or pause the program in december a cable company offered for a payment of million to make hillary available on a videoondemand channel called elections app aa some videoondemand services require viewers to pay a small fee to view a se cite as u s opinion of the court lected program but here the proposal was to make hillary available to viewers free of charge to implement the proposal citizens united was pre pared to pay for the videoondemand and to promote the film it produced two second ads and one second ad for hillary each ad includes a short and in our view pejorative statement about senator clinton followed by the name of the movie and the movies website address id at aa citizens united desired to promote the videoondemand offering by running advertisements on broadcast and cable television b before the bipartisan campaign reform act of bcra federal law prohibitedand still does prohibit corporations and unions from using general treasury funds,4
citizens.pdf,to make direct contributions to candidates or inde pendent expenditures that expressly advocate the election or defeat of a candidate through any form of media in connection with certain qualified federal elections u s c b ed see mcconnell supra at and n federal election commn v massachusetts citizens for life inc u s mcfl bcra amended b to prohibit any electioneering communication as well u s c bb ed an electioneering communication is defined as any broad cast cable or satellite communication that refers to a clearly identified candidate for federal office and is made within days of a primary or days of a general elec tion fa the federal election commissions fec regulations further define an electioneering com munication as a communication that is publicly distrib uted cfr a in the case of a candidate for nomination for president publicly dis tributed means that the communication can be received by or more persons in a state where a primary citizens united v federal election commn opinion of the court election is being held within days bii corporations and unions are barred from using their general treasury funds for express advocacy or electioneering communications they may establish however a separate segregated fund known as a politi cal action committee or pac for these purposes u s c bb the moneys received by the segre gated fund are limited to donations from stockholders and employees of the corporation or in the case of unions members of the union ibid c citizens united wanted to make hillary available through videoondemand within days of the primary elections it feared however that both the film and the ads would be covered by bs ban on corporate funded independent expenditures thus subjecting the corporation to civil and criminal penalties under g in december citizens united sought declaratory and injunctive relief against the fec it argued that b is unconstitutional as applied to hillary and bcras disclaimer and disclosure requirements bcra and are unconstitutional as applied to hillary and to the three ads for the movie the district court denied citizens uniteds motion for a preliminary injunction f supp d dc per curiam and then granted the fecs motion for summary judgment app aa see id at a based on the reasoning of our prior opinion we find that the fec is entitled to judgment as a matter of law see citizens united v fec,4
